index,Drug_Name,Reason,Description
55,Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
56,Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
57,Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
58,Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
59,Ahaglow Acne Control Moisturizing Gel 50gm,Acne,Â treat acne vulgarisÂ 
60,Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,Â treat acne vulgarisÂ 
61,Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,Â treat mild to moderate acne(spots)
62,Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp
63,Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
64,ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
65,Alene Gel 15gm,Acne,Mild to moderate acne (spots)
66,Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
67,Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
68,Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
69,Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne)Â 
70,Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
71,Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
72,Alonurish Anti Acne Foaming Face Wash 60ml,Acne,Â treat acne vulgarisÂ 
73,Amypure Tablet 90'SAmypure Tablet 100'S,Acne,Â treat acne vulgarisÂ 
74,AP Gel 10gm,Acne,Â treat mild to moderate acne(spots)
75,Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
76,Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
77,Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp
78,Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots)
79,Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
80,Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
81,Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
82,Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
83,Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
84,Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
85,Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,Â treat acne vulgarisÂ 
86,Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,Â treat acne vulgarisÂ 
87,Bengel AC 2.5% Gel 30gm,Acne,Â treat mild to moderate acne(spots)
88,Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
89,Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
90,Benzac AC 5% Gel 20gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
91,Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
92,Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
93,Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots)
94,Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
95,Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
96,Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
97,Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
98,Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne)Â 
99,Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
100,Calosoft Plus Cream 30gm,Acne,Â treat acne vulgarisÂ 
101,Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,Â treat acne vulgarisÂ 
102,Canvaz Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots)
103,Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
104,Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
105,Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
106,Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
107,Clearliv Capsule 60'S,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
108,CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
109,CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots)
110,Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
111,Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
112,Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
113,Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
114,Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
115,Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
116,Cligel A Gel 15gm,Acne,Â treat acne vulgarisÂ 
117,Cligel T Gel 15gm,Acne,Â treat acne vulgarisÂ 
118,Climple 1% Gel 15gm,Acne,Â treat mild to moderate acne(spots)
119,Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
120,Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots)
121,Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
122,Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
123,Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
124,Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
125,Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
126,Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
127,Clincin Gel 20gmCLINCIN Gel 10gm,Acne,Â treat acne vulgarisÂ 
128,Clincin N GE Gel 20gm,Acne,Â treat acne vulgarisÂ 
129,Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots)
130,Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp
131,Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
132,Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
133,Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
134,Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
135,Clindapene Gel 15gm,Acne,Mild to moderate acne (spots)
136,Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
137,Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
138,Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
139,Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
140,Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
141,Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
142,CLINKRICK Gel 10gm,Acne,Â treat acne vulgarisÂ 
143,Clinlup 1% Gel 10gm,Acne,Â treat acne vulgarisÂ 
144,Clinmax A Gel 30gmClinmax Gel 20gm,Acne,Â treat mild to moderate acne(spots)
145,Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
146,Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin
147,Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
148,Clinxa Gel 20gm,Acne,Mild to moderate acne (spots)
149,Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
150,Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
151,Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
152,Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne)Â 
153,Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne)Â 
154,Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
155,D Acne Soap 75gmD Acne Gel 10gm,Acne,Â treat acne vulgarisÂ 
156,D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ 
157,D Acne Plus Gel 15gm,Acne,Â treat mild to moderate acne(spots)
158,Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp
159,Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
160,Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
161,Depiglare Cream 15gm,Acne,Mild to moderate acne (spots)
162,Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
163,Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
164,Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
165,Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
166,Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
167,DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â 
168,Dersol BH Ointment 30gm,Acne,Â treat acne vulgarisÂ 
169,Doxt SL 100mg/5B Tablet 8'S,Acne,Â treat acne vulgarisÂ 
170,DS ACNE Face Wash 100gm,Acne,Â treat mild to moderate acne(spots)
171,EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
172,Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
173,Emolene Cream 100gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
174,ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
175,ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp
176,Enshine Ointment 15gm,Acne,Mild to moderate acne (spots)
177,Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
178,Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
179,Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
180,Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
181,Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
182,Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â 
183,Eudyna 0.05% Cream 20gm,Acne,Â treat acne vulgarisÂ 
184,Eunozit 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ 
185,Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne,Â treat mild to moderate acne(spots)
186,Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
187,Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin
188,EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
189,Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin
190,Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
191,Fabeau Soap 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
192,Facebenz A Gel 15gm,Acne,Mild to moderate acne (spots)
193,Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
194,Faceclin A Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
195,Faceclin AT Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
196,Femcinol A Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
197,Femcinol Adp Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
198,Femolink Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â 
199,Flexon Cream 15gm,Acne,Â treat acne vulgarisÂ 
200,Foracne Plus Gel 15gm,Acne,Â treat acne vulgarisÂ 
201,ZIT 20mg Capsule 10'sZIT 10mg Capsule 10's,Acne,Â treat acne vulgarisÂ 
202,Zitblow 20mg Capsule 10'SZitblow 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ 
203,Zitclin Foam Wash Gel 100ml,Acne,Â treat mild to moderate acne(spots)
204,Zyclin Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
205,Addnok Tablet 20'S,Adhd,combined with anti-acne actives of both natural and synthetic origin
206,Armod 150mg Tablet 10'SArmod 50mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
207,Atokem 25mg Tablet 10'SAtokem 10mg Tablet 10'SAtokem 18mg Tablet 10'S,Adhd,Mild to moderate acne (spots)
208,Atrest 12.5mg Tablet 10'SAtrest 25mg Tablet 10'S,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
209,Attentin 10mg Capsule 10'SAttentin 18mg Capsule 10'SAttentin 25mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
210,Attentrol 10mg Capsule 10'SAttentrol 25mg Capsule 10'SAttentrol 40 mg Capsule 10'SAttentrol 18mg Capsule 10'S,Adhd,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
211,Attera 10mg Tablet 10'SAttera 18mg Tablet 10'SAttera 40mg Tablet 10'SAttera 25mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â 
212,Axepta 18mg Tablet 10'SAxepta 60mg Tablet 10'SAxepta 40mg Tablet 10'SAxepta 25mg Tablet 10'SAxepta 10mg Tablet 10'S,Adhd,treat the most severe form of acne (nodular acne)Â 
213,Capnea Injection 1ml,Adhd,treat the most severe form of acne (nodular acne)Â 
214,Modafil MD 100mg Tablet 10'SModafil MD 200mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ 
215,Modalert 200mg Tablet 10'SModalert 100mg Tablet 10'S,Adhd,Â treat acne vulgarisÂ 
216,Modapro 100mg Tablet 10'SModapro 200mg Tablet 10'S,Adhd,Â treat mild to moderate acne(spots)
217,Modatec 100mg Tablet 10'SModatec 200mg Tablet 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
218,Provake 100mg Tablet 10'SProvake 200mg Tablet 10'S,Adhd,combined with anti-acne actives of both natural and synthetic origin
219,Tomoxetin 18mg Capsule 10'S,Adhd,treatment of dry scaly skin disorders of the scalp
220,Vitibex Lip Gel 20gm,Adhd,Mild to moderate acne (spots)
221,Waklert 150mg Tablet 5'SWaklert 150mg Tablet 10'SWaklert 250mg Tablet 5'SWaklert 50mg Tablet 10'SWaklert 100mg Tablet 10,Adhd,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
222,1 AL Plus Capsule 10'S1 AL 10mg Tablet 15'S1 AL 5mg Tablet 10'S1 AL Max Tablet 10'S1 AL Syrup 30ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
223,1 AL M 10/5mg Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
224,ABICET M Tablet 10's,Allergies,treat the most severe form of acne (nodular acne)Â 
225,Acolate M Kid Syrup 60ml,Allergies,treat the most severe form of acne (nodular acne)Â 
226,Adril Lotion 100ml,Allergies,treat the most severe form of acne (nodular acne)Â 
227,Afineday Tablet 10'S,Allergies,Â treat acne vulgarisÂ 
228,AIR 180mg Tablet 10'sAIR 120mg Tablet 10's,Allergies,Â treat acne vulgarisÂ 
229,Airitis 5mg Tablet 10'SAiritis Syrup 30ml,Allergies,Â treat mild to moderate acne(spots)
230,Airkast L Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
231,Airlung Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin
232,Airlung FX 10/120mg Tablet 10'S,Allergies,"Â gives smooth, soft, supple and fresh feeling to the skin"
233,Airtek 10/5mg Tablet 10'S,Allergies,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
234,Akair LC 10/5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
235,Akuminic Syrup 60ml,Allergies,Mild to moderate acne (spots)
236,Alaspan 10mg Tablet 10'S,Allergies,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
237,Alaspan AM Tablet 10'S,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
238,Alaspan Oral Solution 60ml,Allergies,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
239,Alastin 10mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â 
240,Alcarex Eye Drops,Allergies,treat the most severe form of acne (nodular acne)Â 
241,Alcet 5mg Tablet 10'S,Allergies,treat the most severe form of acne (nodular acne)Â 
242,Alcon Plus Tablet 10'S,Allergies,Â treat acne vulgarisÂ 
243,Alday Duo 4/2.5mg Syrup 60ml,Allergies,Â treat acne vulgarisÂ 
244,ALDEX SR 6mg Tablet 10's,Allergies,Â treat mild to moderate acne(spots)
245,Aldine 5mg Tablet 10'S,Allergies,treatment of dry scaly skin disorders of the scalp
246,Alecloz 180mg Tablet 10'SAlecloz 120mg Tablet 10'S,Allergies,combined with anti-acne actives of both natural and synthetic origin
247,Alenix 5mg Tablet 10'SAlenix 10mg Tablet 10'S,Allergies,Good for Allergic skin
248,Alerdain M Tablet 10'S,Allergies,Itching can be soothen
249,Alerdain M Kid Tablet 10'S,Allergies,relief from itching
250,Alerfex 120mg Tablet 10'S,Allergies,soothens allergies and good for all types of skin
251,Alerfix 5mg Tablet 10'S,Allergies,skin care for allergy
252,Alerfix M Tablet 15'S,Allergies,Good for Allergic skin
253,ALERFRI AF Drops 15ml,Allergies,Itching can be soothen
254,Alergin Tablet 10'S,Allergies,relief from itching
255,Alergin L Tablet 10'S,Allergies,soothens allergies and good for all types of skin
256,Alergin LX Syrup 30ml,Allergies,skin care for allergy
257,Alergin NF Syrup 30ml,Allergies,Â improve the appearance of fine lines
258,Alergo 120mg Tablet 10'S,Allergies,relief from allergy
259,Alerid 10mg Tablet 10'SAlerid Syrup 30mlAlerid Syrup 60ml,Allergies,releief from all type of allergies
260,Alerid D Tablet 10'S,Allergies,relief from allergy
261,Aleriz Tablet 500'S,Allergies,soothens allergies and good for all types of skin
262,Alermed 180mg Tablet 10'SAlermed Tablet 10'S,Allergies,skin care for allergy
263,Alernex 120mg Tablet 10'S,Allergies,Good for Allergic skin
264,Alert 180mg Tablet 10'SAlert 120mg Tablet 10'S,Allergies,Itching can be soothen
265,Alert L 5mg Tablet 10'S,Allergies,relief from itching
266,ALERTAC 10mg Tablet 10's,Allergies,soothens allergies and good for all types of skin
267,Alertriz 5mg Tablet 10'S,Allergies,skin care for allergy
268,Alervo M Tablet 10'S,Allergies,Â improve the appearance of fine lines
